Organism,Count,R,S,I,NI,NA_Count,Drug,Dominant_Category
CORYNEBACTERIUM SP.,341,9,287,5,12,28,Amikacin,S
CULTURE NEGATIVE,39939,0,0,0,0,0,Amikacin,Tie
GRAMNEGATIVE ROD,66,1,60,1,2,2,Amikacin,S
ACINETOBACTER BAUMANNII COMPLEX,6,4,2,0,0,0,Amikacin,R
PROTEUS MIRABILIS,654,15,593,29,0,17,Amikacin,S
STAPHYLOCOCCUS EPIDERMIDIS,23,0,17,0,3,3,Amikacin,S
ENTEROCOCCUS SP.,264,193,0,0,65,6,Amikacin,R
PSEUDOMONAS AERUGINOSA,564,12,483,13,5,51,Amikacin,S
ESCHERICHIA COLI,2826,34,2577,54,21,140,Amikacin,S
MORGANELLA MORGANI SS MORGANII,25,0,20,2,0,3,Amikacin,S
PROTEUS SP.,4,0,4,0,0,0,Amikacin,S
ALCALIGENES FAECALIS SS FAECALIS,4,1,2,1,0,0,Amikacin,S
STREPTOCOCCUS ALPHA HEMOLYTIC,335,33,213,55,4,30,Amikacin,S
BACILLUS LENTUS,1,0,1,0,0,0,Amikacin,S
ENTEROBACTER CLOACAE COMPLEX,20,0,19,1,0,0,Amikacin,S
PASTEURELLA MULTOCIDA,160,0,76,3,53,28,Amikacin,S
PROTEUS VULGARIS,35,0,22,2,0,11,Amikacin,S
STAPHYLOCOCCUS PSEUDINTERMEDIUS,2157,131,1145,4,844,33,Amikacin,S
STREPTOCOCCUS BETA GROUP - G,5,0,2,1,2,0,Amikacin,Tie
KLEBSIELLA PNEUMONIAE,174,6,153,3,0,12,Amikacin,S
LECLERCIA ADECARBOXYLATA,8,0,6,1,0,1,Amikacin,S
BACILLUS SP.,130,2,118,0,0,10,Amikacin,S
ESCHERICHIA COLI HAEMOLYTIC,25,0,23,1,0,1,Amikacin,S
AEROCOCCUS SP.,13,1,11,1,0,0,Amikacin,S
STREPTOCOCCUS EQUI SS ZOOEPIDEMICUS,162,8,99,17,38,0,Amikacin,S
KLEBSIELLA OXYTOCA,72,3,62,0,0,7,Amikacin,S
PSEUDOMONAS PUTIDA,5,0,5,0,0,0,Amikacin,S
STAPHYLOCOCCUS AUR. SS AUREUS,134,8,111,2,0,13,Amikacin,S
PSEUDOMONAS MENDOCINA,4,0,3,0,0,1,Amikacin,S
MICROCOCCUS SP.,17,0,17,0,0,0,Amikacin,S
CITROBACTER KOSERI,18,0,18,0,0,0,Amikacin,S
STAPHYLOCOCCUS SP.,13,0,8,0,5,0,Amikacin,S
MORGANELLA MORGANI SSP SIBONII,1,0,1,0,0,0,Amikacin,S
ACTINOBACILLUS SUIS,22,0,21,0,0,1,Amikacin,S
ACTINOBACILLUS EQUULI SS EQUULI,21,0,21,0,0,0,Amikacin,S
STREPTOCOCCUS CANIS,777,15,345,36,348,33,Amikacin,NI
PASTEURELLA CANIS,120,0,72,0,43,5,Amikacin,S
ESCHERICHIA COLI - LACTOSE CULTURE NEGATIVE,1,0,1,0,0,0,Amikacin,S
PSEUDOMONAS STUTZERI,5,0,4,0,0,1,Amikacin,S
PASTEURELLA PNEUMOTROPICA,9,0,9,0,0,0,Amikacin,S
MORAXELLA SP.,22,0,17,0,3,2,Amikacin,S
SPHINGOBACTERIUM SPIRITIVORUM,1,1,0,0,0,0,Amikacin,R
