"Organism","Antibiotic","R_count","NI_count","Blank_count","Category"
"Achromobacter sp.","Amikacin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Amoxicillin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Ampicillin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Azithromycin",0,2,0,"NI Dominant"
"Achromobacter sp.","Bacitracin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","CTZD",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Cefalexin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Cefazolin",2,0,0,"R Dominant"
"Achromobacter sp.","Cefiofur",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Cefovecin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Cefoxitin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Cefpodoxime",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Ceftazidime",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Ceftiofur",2,0,0,"R Dominant"
"Achromobacter sp.","Cephalexin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Cephalothin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Chloramphenicol",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Chlortetracycline",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Ciprofloxacin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Clarithromycin",0,2,0,"NI Dominant"
"Achromobacter sp.","Clindamycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Danofloxacin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Doxycycline",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Enrofloxacin",0,1,0,"NI Dominant"
"Achromobacter sp.","Erythromycin",1,1,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Florfenicol",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Gamithromycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Gentamicin",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Imipenem",0,0,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Marbofloxacin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Minocycline",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Moxifloxacin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Neomycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Nitrofurantoin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Novobiocin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","OXYT",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Ofloxacin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Orbifloxacin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Oxacillin",2,0,0,"R Dominant"
"Achromobacter sp.","Oxytetracycline",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Penicillin",2,0,0,"R Dominant"
"Achromobacter sp.","Pirlimycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Pradofloxacin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Rifampin",1,1,0,"Mixed/Blank Dominant"
"Achromobacter sp.","Spectinomycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Streptomycin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Sulphadimethoxime",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Sulphadimethoxine",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Sulphathiazole",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Tetracycline",0,1,0,"NI Dominant"
"Achromobacter sp.","Tiamulin",0,0,2,"Mixed/Blank Dominant"
"Achromobacter sp.","Ticarcillin",0,0,0,"Mixed/Blank Dominant"
