"Test_Complete_Year","Organism","sum_Amikacin","sum_Amoxicillin","sum_Ampicillin","sum_Azithromycin","sum_Bacitracin","sum_Cefalexin","sum_Cefazolin","sum_Cefiofur","sum_Cefovecin","sum_Cefoxitin","sum_Cefpodoxime","sum_Ceftazidime","sum_Ceftiofur","sum_Cephalexin","sum_Cephalothin","sum_Chloramphenicol","sum_Chlortetracycline","sum_Ciprofloxacin","sum_Clarithromycin","sum_Clindamycin","sum_CTZD","sum_Danofloxacin","sum_Doxycycline","sum_Enrofloxacin","sum_Erythromycin","sum_Florfenicol","sum_Gamithromycin","sum_Gentamicin","sum_Imipenem","sum_Marbofloxacin","sum_Minocycline","sum_Moxifloxacin","sum_Neomycin","sum_Nitrofurantoin","sum_Novobiocin","sum_Ofloxacin","sum_Orbifloxacin","sum_Oxacillin","sum_OXYT","sum_Oxytetracycline","sum_Penicillin","sum_Pirlimycin","sum_Pradofloxacin","sum_Rifampin","sum_Spectinomycin","sum_Streptomycin","sum_Sulphadimethoxime","sum_Sulphadimethoxine","sum_Sulphathiazole","sum_Tetracycline","sum_Tiamulin","sum_Ticarcillin","sum_Tildipirosin","sum_Tilmicosin","sum_Tobramycin","sum_Trimethoprim","sum_Tulathromycin","sum_Tylosin","sum_Vancomycin"
"2013","Achromobacter xylo ss denitrificans",0,0,1,0,0,0,3,0,2,2,2,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013","Acinetobacter baumannii complex",4,0,4,0,1,0,6,0,2,2,1,0,6,0,0,6,0,1,0,2,0,0,2,3,6,0,0,4,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,3,0,0,0,0,0,3,0,3,0,0,1,5,0,0,0
"2013","Actinobacillus equuli ss equuli",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2013","Actinobacillus suis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"2013","Aerococcus sp.",1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013","Aeromonas hydrophilia",0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"2013","Aeromonas sp.",0,3,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"2013","Alcaligenes faecalis ss faecalis",1,0,2,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
"2013","Alpha strep not suis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"2013","Bacillus lentus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
