"Specimen","Organism","Amikacin","Amoxicillin","Ampicillin","Azithromycin","Bacitracin","Cefalexin","Cefazolin","Cefiofur","Cefovecin","Cefoxitin","Cefpodoxime","Ceftazidime","Ceftiofur","Cephalexin","Cephalothin","Chloramphenicol","Chlortetracycline","Ciprofloxacin","Clarithromycin","Clindamycin","CTZD","Danofloxacin","Doxycycline","Enrofloxacin","Erythromycin","Florfenicol","Gamithromycin","Gentamicin","Imipenem","Marbofloxacin","Minocycline","Moxifloxacin","Neomycin","Nitrofurantoin","Novobiocin","Ofloxacin","Orbifloxacin","Oxacillin","OXYT","Oxytetracycline","Penicillin","Pirlimycin","Pradofloxacin","Rifampin","Spectinomycin","Streptomycin","Sulphadimethoxime","Sulphadimethoxine","Sulphathiazole","Tetracycline","Tiamulin","Ticarcillin","Tildipirosin","Tilmicosin","Tobramycin","Trimethoprim","Tulathromycin","Tylosin","Vancomycin"
"Abdomen Sample","Actinobacillus suis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Abdomen Sample","Actinomyces sp.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abdomen Sample","Aeromonas veronii",0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
"Abdomen Sample","Bacillus sp.",2,4,29,0,5,0,34,0,46,24,35,9,39,0,0,4,1,0,0,41,0,0,3,5,8,0,0,1,0,1,0,0,1,1,0,0,0,41,0,1,61,0,0,2,2,0,1,0,0,1,6,18,0,1,0,26,0,0,0
"Abdomen Sample","Brevibacterium sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abdomen Sample","Citrobacter freundii",0,16,17,0,0,4,16,0,3,6,1,1,2,1,0,2,0,0,0,8,0,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,1,0,0,0,1,0,2,1,1,0,1,0,3,0,0,0
"Abdomen Sample","Corynebacterium sp.",9,77,87,0,10,0,97,0,87,47,69,5,71,0,1,15,0,15,3,98,0,0,11,95,86,2,0,24,59,4,0,3,3,31,0,3,0,156,0,6,214,0,1,12,2,0,1,1,0,8,0,66,0,4,7,54,0,0,0
"Abdomen Sample","Culture Negative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abdomen Sample","Enterobacter cloacae",4,92,126,0,2,45,124,0,39,28,24,41,27,19,0,44,1,0,0,38,0,0,30,26,36,4,0,51,0,23,0,1,2,0,0,1,21,54,0,2,64,0,0,11,1,0,1,4,0,40,10,24,0,10,2,59,0,0,0
"Abdomen Sample","Enterococcus faecalis",301,8,10,0,16,3,411,0,344,104,169,13,138,1,25,24,0,1,0,152,0,0,26,22,100,1,0,305,1,13,3,0,24,0,0,2,0,388,0,10,17,0,10,349,4,3,1,4,0,10,5,7,0,1,19,110,0,1,0
"Abdomen Sample","Enterococcus faecium",155,209,215,0,2,1,211,0,190,56,83,4,66,0,8,21,4,0,0,79,0,1,36,62,140,0,0,160,68,10,3,0,7,33,0,0,0,201,0,5,222,0,4,207,3,0,0,5,0,10,1,54,0,2,2,56,0,0,0
"Abdomen Sample","Enterococcus sp.",193,45,56,0,5,0,217,0,190,143,159,21,172,0,12,13,3,0,0,187,0,0,38,82,68,1,0,196,45,1,0,0,8,0,0,0,0,190,0,8,63,0,0,107,1,1,3,0,0,15,2,49,0,3,5,160,0,0,0
"Abdomen Sample","Escherichia coli",34,928,1482,0,40,293,651,0,503,107,553,152,186,233,24,231,39,11,0,789,1,0,489,412,693,38,0,231,2,412,1,0,11,5,1,1,255,775,0,54,868,8,7,32,8,2,24,19,0,435,78,216,0,81,6,499,1,5,0
"Abdomen Sample","Hafnia alvei",0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abdomen Sample","Klebsiella oxytoca",3,17,67,0,1,5,38,0,5,1,4,3,5,3,0,11,0,0,0,21,0,0,7,4,20,1,0,11,0,0,0,0,0,0,2,0,2,22,0,0,26,1,0,3,0,0,0,2,0,10,1,5,0,1,0,13,0,1,0
"Abdomen Sample","Lactobacillus sp.",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Abdomen Sample","Pasteurella canis",0,2,1,0,5,0,4,0,3,0,0,0,1,0,0,2,0,0,0,20,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
