"Year","Organism","Frequency"
"2013","Achromobacter xylo ss denitrificans",1
"2013","Acinetobacter baumannii complex",4
"2013","Actinobacillus equuli ss equuli",1
"2013","Actinobacillus suis",2
"2013","Aerococcus sp.",2
"2013","Aeromonas hydrophilia",1
"2013","Aeromonas sp.",1
"2013","Alcaligenes faecalis ss faecalis",1
"2013","Alpha strep not suis",1
"2013","Bacillus lentus",1
"2013","Bacillus sp.",15
"2013","Bordetella bronchiseptica",2
"2013","Chronobacter sakazakii Group",1
"2013","Citrobacter koseri",3
"2013","Corynebacterium sp.",21
"2013","Culture Negative",1236
"2013","Enterobacter cloacae complex",6
"2013","Enterococcus faecalis",8
"2013","Enterococcus faecium",5
"2013","Enterococcus gallinarum",1
"2013","Enterococcus sp.",13
"2013","Escherichia coli",50
"2013","Escherichia coli - lactose Culture Negative",1
"2013","Escherichia coli haemolytic",25
"2013","Gramnegative rod",5
"2013","Klebsiella oxytoca",3
"2013","Klebsiella pneumoniae",5
"2013","Leclercia adecarboxylata",3
"2013","Micrococcus sp.",1
"2013","Moraxella sp.",2
"2013","Morganella morgani ss morganii",2
"2013","Morganella morgani ssp sibonii",1
"2013","Neisseria sp.",1
"2013","Neisseria zoodegmatis",3
"2013","Pantoea agglomerans",1
"2013","Pasteurella canis",4
"2013","Pasteurella multocida",7
"2013","Pasteurella pneumotropica",3
"2013","Proteus mirabilis",23
"2013","Proteus sp.",1
"2013","Proteus vulgaris",5
"2013","Providencia rettgeri",1
"2013","Pseudomonas aeruginosa",14
"2013","Pseudomonas alcaligenes",1
"2013","Pseudomonas mendocina",1
"2013","Pseudomonas putida",2
"2013","Pseudomonas stutzeri",1
"2013","Raoultella ornithinolytica",1
"2013","Rothia mucilaginosa",1
"2013","Salmonella sp. Group B",1
"2013","Salmonella sp. Group C2",1
"2013","Serratia marcescens",3
"2013","Sphingobacterium spiritivorum",1
"2013","Sphingomonas paucimobilis",1
"2013","Staphylococcus aur. ss aureus",11
"2013","Staphylococcus coagulase Culture Negative Group",11
"2013","Staphylococcus epidermidis",18
