Reason,updated_reason,Slizovskiy_reason
evaluation L hind limb non weight bearing,Musculoskeletal Issues,
evaluation L hind limb non weight bearing,Musculoskeletal Issues,
distress,,
acute glaucoma   **ICU 8/29/13*,,
resp distress,Respiratory Issues,
resp distress,Respiratory Issues,
resp distress,Respiratory Issues,
resp distress,Respiratory Issues,
"Lymphnode enlargement, gland carcinoma  Tech-Amalia *ICU 8/31*",Uncategorized,Oncology
eval urethral stones *ICU 8/31*,Uncategorized,Urinary Issues
eval urethral stones *ICU 8/31*,Uncategorized,Urinary Issues
eval urethral stones *ICU 8/31*,Uncategorized,Urinary Issues
eval urethral stones *ICU 8/31*,Uncategorized,Urinary Issues
Open mouth breathing  *ICU 9/3*,Uncategorized,
Open mouth breathing  *ICU 9/3*,Uncategorized,
Open mouth breathing  *ICU 9/3*,Uncategorized,
Open mouth breathing  *ICU 9/3*,Uncategorized,
Open mouth breathing  *ICU 9/3*,Uncategorized,
Open mouth breathing  *ICU 9/3*,Uncategorized,
Open mouth breathing  *ICU 9/3*,Uncategorized,
Open mouth breathing  *ICU 9/3*,Uncategorized,
Possible bloat  **ICU 9/5**,Uncategorized,
Possible bloat  **ICU 9/5**,Uncategorized,
pink book,Uncategorized,
BGC,Uncategorized,
meds,Uncategorized,
meds,Uncategorized,
raccoon attack *ICU 9/9*,Uncategorized,Wound Care
raccoon attack *ICU 9/9*,Uncategorized,Wound Care
raccoon attack *ICU 9/9*,Uncategorized,Wound Care
Mastitis - mastectomy,Uncategorized,
Ruptured abccess,Uncategorized,Infectious Diseases
Ruptured abccess,Uncategorized,Infectious Diseases
I-131      *I131 9/12*,Uncategorized,
I-131      *I131 9/12*,Uncategorized,
fx splintbone,Uncategorized,Musculoskeletal Issues
fx splintbone,Uncategorized,Musculoskeletal Issues
fx splintbone,Uncategorized,Musculoskeletal Issues
"REFERRAL - kidney failure, needs evaluated  *ICU 9/12*",Uncategorized,
"REFERRAL - kidney failure, needs evaluated  *ICU 9/12*",Uncategorized,
2nd shockwave,Uncategorized,
2nd shockwave,Uncategorized,
2nd shockwave,Uncategorized,
REFERRAL - Blasto issues  *ICU 9/14*,Uncategorized,Infectious Diseases
REFERRAL - Blasto issues  *ICU 9/14*,Uncategorized,Infectious Diseases
Euthanize,Uncategorized,
Euthanize,Uncategorized,
Euthanize,Uncategorized,
Euthanize,Uncategorized,
Walk in EMG - urinating blood,Uncategorized,Urinary Issues
not able to urinate,Uncategorized,Urinary Issues
